epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,333.068,1.56669,3.27982,2.37985,2.0192,0.48936,0.44055,0.39879,0.24092,0.50801,0.41411,0.39274,0.19797,1.56267,3.25291,2.34502,2.09243,0.00115549,0.00115549,0.00115549
31,343.529,1.55661,3.21177,2.34408,2.00156,0.53429,0.41827,0.41761,0.26527,0.53304,0.41778,0.40209,0.22086,1.51688,3.1271,2.1655,2.04581,0.00114606,0.00114606,0.00114606
32,353.961,1.51035,3.15536,2.26661,1.95242,0.59329,0.45321,0.45525,0.29982,0.63468,0.42737,0.42561,0.24547,1.46746,3.16945,2.17854,2.03149,0.00113663,0.00113663,0.00113663
33,364.592,1.5676,3.26872,2.31269,1.99483,0.62869,0.45745,0.44691,0.29234,0.61232,0.422,0.41447,0.23399,1.46616,3.10918,2.16985,2.00819,0.0011272,0.0011272,0.0011272
34,375.227,1.50167,3.16199,2.24212,1.93924,0.57911,0.46769,0.43656,0.28014,0.57274,0.44635,0.41508,0.23697,1.47771,3.10863,2.29882,2.01259,0.00111776,0.00111776,0.00111776
35,385.726,1.48341,3.12892,2.19625,1.93151,0.63124,0.406,0.45183,0.2874,0.63654,0.39946,0.43632,0.2279,1.46149,3.25876,2.19138,2.00461,0.00110833,0.00110833,0.00110833
36,396.195,1.43891,3.08617,2.15736,1.87576,0.56908,0.47419,0.46548,0.30144,0.5773,0.47026,0.44948,0.24927,1.46034,3.1622,2.15668,1.95767,0.0010989,0.0010989,0.0010989
37,406.773,1.44987,3.10596,2.17058,1.88595,0.6253,0.44809,0.4727,0.31964,0.61433,0.43708,0.45293,0.25563,1.40073,3.17916,2.11524,1.92736,0.00108947,0.00108947,0.00108947
38,417.276,1.4409,3.05805,2.18182,1.88028,0.6982,0.43914,0.48068,0.32332,0.68701,0.42466,0.46097,0.26498,1.38787,3.09126,2.13351,1.9066,0.00108004,0.00108004,0.00108004
39,427.851,1.49841,3.19774,2.21469,1.92727,0.5912,0.46721,0.4766,0.31653,0.62349,0.4352,0.45908,0.2541,1.47921,3.09526,2.12795,1.98168,0.00107061,0.00107061,0.00107061
40,438.304,1.43455,3.14518,2.12739,1.87129,0.52323,0.42223,0.41946,0.27875,0.52806,0.41548,0.4055,0.23269,1.4002,3.06743,2.16951,1.9381,0.00106118,0.00106118,0.00106118
41,448.772,1.40102,3.02679,2.09241,1.8351,0.70243,0.45381,0.49677,0.32797,0.66236,0.43261,0.45192,0.24286,1.42788,3.34328,2.14268,1.9457,0.00105174,0.00105174,0.00105174
