epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1351.04,1.13141,2.54945,1.56492,1.5784,0.82739,0.48924,0.60347,0.44977,0.81476,0.48301,0.58075,0.39069,1.12012,2.73107,1.65988,1.55083,0.000240644,0.000240644,0.000240644
128,1361.53,1.11706,2.46779,1.53767,1.56327,0.81723,0.51,0.60906,0.46503,0.80229,0.49339,0.57719,0.39186,1.12793,2.77095,1.59841,1.56997,0.000231212,0.000231212,0.000231212
129,1372.05,1.12882,2.53614,1.55157,1.56921,0.77166,0.54903,0.61269,0.46314,0.76746,0.53972,0.59531,0.40249,1.11962,2.74134,1.5901,1.57934,0.000221781,0.000221781,0.000221781
130,1382.53,1.12314,2.5441,1.54943,1.56486,0.82843,0.52564,0.61869,0.46083,0.81686,0.51293,0.59602,0.40501,1.09466,2.70649,1.60939,1.55538,0.000212349,0.000212349,0.000212349
131,1393.04,1.13648,2.51919,1.58291,1.55606,0.79761,0.50825,0.60972,0.45977,0.79179,0.5043,0.58575,0.39188,1.10784,2.73429,1.65251,1.56337,0.000202918,0.000202918,0.000202918
132,1403.53,1.12668,2.51183,1.55696,1.55424,0.80971,0.51267,0.61676,0.45559,0.80163,0.50912,0.59407,0.39461,1.13042,2.73585,1.5818,1.5871,0.000193487,0.000193487,0.000193487
133,1414.07,1.13092,2.52984,1.54186,1.55893,0.74269,0.55132,0.61441,0.46047,0.71484,0.52302,0.5846,0.39305,1.10354,2.73299,1.61531,1.57046,0.000184055,0.000184055,0.000184055
134,1424.63,1.14539,2.49353,1.55426,1.5724,0.78913,0.51512,0.60948,0.45613,0.8102,0.49348,0.57316,0.38978,1.11978,2.73729,1.65121,1.57226,0.000174624,0.000174624,0.000174624
135,1435.21,1.10023,2.44718,1.51649,1.54404,0.82658,0.51723,0.60961,0.45034,0.81486,0.50289,0.57419,0.38114,1.1207,2.761,1.6884,1.58221,0.000165192,0.000165192,0.000165192
136,1445.77,1.10062,2.4713,1.49663,1.54882,0.78639,0.53466,0.61671,0.46599,0.77297,0.52142,0.58727,0.40582,1.10427,2.70907,1.62589,1.56468,0.000155761,0.000155761,0.000155761
137,1456.28,1.10809,2.50427,1.49103,1.55233,0.79538,0.53202,0.61542,0.46073,0.7774,0.52212,0.58676,0.39166,1.13239,2.73842,1.64247,1.59752,0.00014633,0.00014633,0.00014633
138,1466.82,1.10583,2.46826,1.52774,1.53915,0.73137,0.5446,0.61085,0.46222,0.72599,0.53947,0.58362,0.39294,1.10467,2.75501,1.62904,1.57931,0.000136898,0.000136898,0.000136898
139,1477.33,1.09037,2.41542,1.45876,1.52622,0.82909,0.52875,0.629,0.47357,0.83057,0.51528,0.60171,0.40955,1.09959,2.70076,1.57643,1.55979,0.000127467,0.000127467,0.000127467
140,1487.81,1.09065,2.45406,1.494,1.54958,0.77587,0.54045,0.6186,0.46083,0.80986,0.52826,0.59723,0.39324,1.1057,2.76254,1.61652,1.57547,0.000118035,0.000118035,0.000118035
141,1499.42,1.0886,2.57458,1.84314,1.65609,0.7189,0.52912,0.59252,0.43863,0.74137,0.50153,0.56355,0.36629,1.13194,2.89999,1.7392,1.59026,0.000108604,0.000108604,0.000108604
142,1510.03,1.08726,2.57982,1.72183,1.66984,0.75867,0.50193,0.58583,0.44667,0.79729,0.47199,0.56265,0.38269,1.09943,2.80238,1.66149,1.53608,9.91726e-05,9.91726e-05,9.91726e-05
143,1520.65,1.0384,2.50076,1.60128,1.61412,0.72867,0.5476,0.6064,0.46328,0.73534,0.53041,0.58807,0.39718,1.07963,2.78237,1.5832,1.51427,8.97412e-05,8.97412e-05,8.97412e-05
144,1531.11,1.00921,2.46547,1.60151,1.60592,0.70054,0.54469,0.58875,0.44883,0.78061,0.49579,0.56674,0.37926,1.08982,2.80276,1.61571,1.51816,8.03098e-05,8.03098e-05,8.03098e-05
145,1541.6,1.0137,2.47455,1.57358,1.61507,0.75481,0.53489,0.60118,0.45937,0.7845,0.51843,0.58147,0.39213,1.07976,2.77011,1.5698,1.51026,7.08784e-05,7.08784e-05,7.08784e-05
146,1552.04,1.01289,2.43949,1.56078,1.61802,0.72348,0.5383,0.59967,0.45694,0.81363,0.50368,0.57899,0.39281,1.06663,2.77454,1.58562,1.50005,6.1447e-05,6.1447e-05,6.1447e-05
147,1562.52,1.00791,2.44686,1.53356,1.60463,0.76679,0.55392,0.61146,0.46578,0.77305,0.53333,0.59195,0.40139,1.05998,2.74658,1.56796,1.49357,5.20156e-05,5.20156e-05,5.20156e-05
148,1572.96,1.00111,2.43638,1.54119,1.59283,0.76272,0.54103,0.60633,0.46364,0.82228,0.51025,0.58925,0.39876,1.0621,2.74441,1.56469,1.49871,4.25842e-05,4.25842e-05,4.25842e-05
149,1583.45,1.0053,2.4293,1.54322,1.59697,0.76566,0.53375,0.60322,0.46,0.8083,0.52428,0.58303,0.39544,1.05654,2.73975,1.55676,1.48674,3.31528e-05,3.31528e-05,3.31528e-05
150,1593.91,0.98946,2.41367,1.51721,1.59482,0.77945,0.54273,0.60422,0.46385,0.78526,0.51678,0.58387,0.39854,1.05842,2.7314,1.56111,1.4934,2.37214e-05,2.37214e-05,2.37214e-05
