epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.6679,1.20831,4.13117,2.88545,1.68242,0,0.81656,0.45225,0.54413,0.43651,0.76671,0.44554,0.51289,0.35392,0.86356,2.77279,1.73657,1.28777,0,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156
2,104.688,0.90212,2.43883,1.76711,1.40562,0,0.80545,0.49542,0.61782,0.50557,0.71249,0.53654,0.60748,0.46007,0.75141,2.25236,1.45261,1.11652,0,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236
3,150.115,0.81405,2.08242,1.38242,1.3083,0,0.69456,0.59238,0.62839,0.4975,0.75209,0.55922,0.62399,0.43968,0.76809,2.33891,1.21931,1.14202,0,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503
4,194.403,0.8474,2.05638,1.2922,1.33554,0,0.74962,0.59173,0.63831,0.49171,0.82471,0.53731,0.63338,0.44029,0.77906,2.21372,1.31437,1.16894,0,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071
5,238.834,0.82262,1.8913,1.17211,1.31326,0,0.74581,0.62575,0.67147,0.52659,0.78818,0.60843,0.6703,0.47801,0.77201,2.28161,1.14082,1.16903,0,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127
6,283.532,0.8235,1.83035,1.10715,1.31434,0,0.82249,0.58315,0.69048,0.55495,0.8227,0.58455,0.69436,0.48843,0.7558,2.26877,1.16468,1.14255,0,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184
7,328.646,0.77451,1.72598,1.02653,1.28203,0,0.78233,0.6105,0.6933,0.55496,0.78037,0.61181,0.69771,0.49096,0.77317,2.26245,1.1279,1.16354,0,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
8,373.545,0.76631,1.76353,0.98036,1.26978,0,0.68422,0.66646,0.69901,0.54441,0.70383,0.6506,0.69967,0.49654,0.79243,2.25416,1.19138,1.19384,0,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298
9,418.096,0.76102,1.70632,0.92314,1.25369,0,0.7354,0.61032,0.66955,0.49115,0.72346,0.604,0.65018,0.43806,0.90356,2.24537,1.28165,1.27814,0,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355
10,462.473,0.75554,1.64663,0.89769,1.25141,0,0.77594,0.62201,0.70511,0.55126,0.76249,0.62639,0.69876,0.49244,0.83341,2.29414,1.11161,1.22273,0,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
11,507.058,0.73169,1.60343,0.8354,1.21959,0,0.78006,0.61945,0.72407,0.57181,0.81344,0.61027,0.71971,0.52615,0.81139,2.17705,1.05028,1.18814,0,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469
12,551.961,0.70727,1.52835,0.7839,1.19758,0,0.76988,0.62938,0.7046,0.55882,0.76255,0.61711,0.69573,0.50375,0.8442,2.2349,1.18491,1.18471,0,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525
13,596.536,0.70762,1.61978,0.81372,1.19882,0,0.70326,0.59454,0.66554,0.52306,0.71013,0.60292,0.66049,0.47462,0.91379,2.30945,1.23514,1.27114,0,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
14,641.062,0.69066,1.51536,0.75575,1.18504,0,0.8305,0.60874,0.70369,0.54112,0.8408,0.60401,0.6944,0.49147,0.8785,2.32448,1.12426,1.26155,0,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639
15,686.022,0.71667,1.52242,0.78379,1.2009,0,0.7978,0.63306,0.73337,0.57411,0.7963,0.63552,0.72922,0.51596,0.8226,2.32939,1.05573,1.18793,0,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696
