epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.2558,1.23114,4.21078,3.10459,1.6651,0,0.4056,0.44356,0.39991,0.3184,0.37064,0.40956,0.36189,0.24864,0.90671,3.04937,2.12308,1.3307,0,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156,0.00141347,0.000471156
2,86.1779,0.95018,2.69052,2.06136,1.45596,0,0.74216,0.50502,0.59189,0.48206,0.73256,0.49861,0.58268,0.42307,0.76515,2.33146,1.54664,1.15031,0,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236,0.00282371,0.000941236
3,127.728,0.86322,2.2797,1.65305,1.35984,0,0.74577,0.60238,0.66734,0.53354,0.767,0.58699,0.66478,0.47456,0.74424,2.2132,1.28297,1.12422,0,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503,0.00421508,0.00140503
4,168.649,0.84223,2.10769,1.46849,1.33298,0,0.82796,0.57274,0.67991,0.55666,0.81225,0.56254,0.67717,0.4827,0.71422,2.18902,1.27237,1.09648,0,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071,0.00420212,0.00140071
5,210.193,0.80309,1.93241,1.30132,1.30231,0,0.81905,0.59614,0.69788,0.55566,0.82395,0.6005,0.70239,0.50079,0.73393,2.0651,1.12281,1.11438,0,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127,0.00417382,0.00139127
6,251.477,0.79515,1.81878,1.21378,1.29155,0,0.79407,0.62028,0.71778,0.56759,0.79189,0.62586,0.71703,0.50896,0.71263,2.01573,1.14388,1.08092,0,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184,0.00414553,0.00138184
7,292.95,0.76536,1.71851,1.10717,1.26977,0,0.78745,0.6465,0.71958,0.56869,0.76099,0.66006,0.73032,0.51249,0.71271,1.99455,1.0251,1.09238,0,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
8,334.303,0.7388,1.72261,1.0417,1.247,0,0.77914,0.61831,0.71697,0.57503,0.7605,0.63451,0.71621,0.52589,0.72253,2.01015,1.09759,1.10218,0,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298,0.00408894,0.00136298
9,375.804,0.73153,1.64864,0.969,1.22796,0,0.73497,0.60848,0.68484,0.53713,0.71538,0.63072,0.68709,0.48497,0.76874,2.10267,1.16414,1.15486,0,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355,0.00406065,0.00135355
10,417.45,0.71937,1.61141,0.95074,1.23048,0,0.69321,0.65491,0.70104,0.55873,0.78325,0.59786,0.70132,0.50803,0.76894,2.1768,1.0972,1.17342,0,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
11,458.514,0.6945,1.5498,0.87277,1.20359,0,0.76518,0.66668,0.73209,0.58997,0.76255,0.67899,0.74474,0.53674,0.73512,2.14865,1.01811,1.12521,0,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469,0.00400406,0.00133469
12,499.595,0.67473,1.44218,0.79145,1.18594,0,0.77103,0.66135,0.72665,0.59183,0.79719,0.66071,0.73551,0.54131,0.7272,2.06311,1.04597,1.11258,0,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525,0.00397576,0.00132525
13,541.26,0.66786,1.55258,0.83167,1.176,0,0.75858,0.64029,0.71242,0.56466,0.7545,0.63804,0.70835,0.51874,0.76677,2.12285,1.08993,1.17319,0,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
14,582.193,0.64349,1.41989,0.77349,1.15875,0,0.81822,0.66977,0.72706,0.58659,0.82257,0.67444,0.7338,0.53695,0.74237,2.11101,0.99867,1.15542,0,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639,0.00391918,0.00130639
15,623.262,0.67198,1.4788,0.79789,1.17989,0,0.78202,0.63345,0.71387,0.58043,0.78499,0.63883,0.71305,0.52336,0.75922,2.13066,1.06252,1.15009,0,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696,0.00389088,0.00129696
