epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1078.39,0.6444,0.65219,1.13595,0.78736,0.64898,0.69813,0.55815,0.93193,1.57667,1.3799,0.00346647,0.00115549,0.00346647,0.00115549,0.00346647,0.00115549,0.00346647,0.00115549
31,1113.96,0.64753,0.64425,1.15449,0.73577,0.65022,0.69587,0.54923,0.98901,1.65025,1.45551,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
32,1149.3,0.65771,0.66749,1.14575,0.80825,0.61926,0.67339,0.53303,0.92091,1.67182,1.38573,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663
33,1185.18,0.6289,0.64886,1.12631,0.70251,0.62881,0.65207,0.51762,0.89824,1.59764,1.36116,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272
34,1220.44,0.64052,0.64261,1.13708,0.66402,0.66922,0.66302,0.5223,0.89549,1.53427,1.31913,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
35,1255.89,0.59475,0.60938,1.10426,0.77113,0.63811,0.68056,0.53803,0.86938,1.53069,1.30076,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833
36,1291.16,0.62558,0.61952,1.1243,0.73585,0.61806,0.66677,0.53621,0.87216,1.58764,1.28655,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
37,1326.62,0.62859,0.62549,1.12785,0.79314,0.62205,0.66772,0.53888,0.86331,1.67625,1.31804,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
38,1362.31,0.61847,0.63669,1.12466,0.77244,0.6094,0.65757,0.53655,0.86202,1.75072,1.329,0.00324011,0.00108004,0.00324011,0.00108004,0.00324011,0.00108004,0.00324011,0.00108004
39,1397.77,0.61218,0.59416,1.11632,0.79771,0.6308,0.68419,0.56366,0.88423,1.69533,1.32115,0.00321182,0.00107061,0.00321182,0.00107061,0.00321182,0.00107061,0.00321182,0.00107061
40,1433.14,0.61232,0.60843,1.11489,0.79673,0.61442,0.67258,0.5421,0.89235,1.67667,1.35692,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
41,1468.65,0.59672,0.57122,1.09468,0.77627,0.5833,0.66024,0.53013,0.85683,1.79,1.32329,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
42,1503.98,0.6003,0.56462,1.09568,0.77516,0.61855,0.65248,0.53708,0.89481,1.72943,1.38579,0.00312694,0.00104231,0.00312694,0.00104231,0.00312694,0.00104231,0.00312694,0.00104231
43,1539.85,0.58884,0.56325,1.09508,0.81687,0.60595,0.65409,0.51416,0.89005,1.66278,1.34724,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
44,1575.14,0.57888,0.55572,1.08753,0.80492,0.62928,0.67708,0.52568,0.97925,1.65421,1.40293,0.00307035,0.00102345,0.00307035,0.00102345,0.00307035,0.00102345,0.00307035,0.00102345
45,1610.65,0.57556,0.55292,1.08273,0.74377,0.64672,0.66757,0.52716,0.96139,1.62056,1.39671,0.00304206,0.00101402,0.00304206,0.00101402,0.00304206,0.00101402,0.00304206,0.00101402
46,1646.02,0.5763,0.57549,1.10358,0.79151,0.5913,0.66194,0.51015,0.94747,1.70505,1.43429,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
47,1681.54,0.58186,0.57983,1.08769,0.7649,0.61912,0.66424,0.50934,0.96941,1.72286,1.41445,0.00298547,0.000995156,0.00298547,0.000995156,0.00298547,0.000995156,0.00298547,0.000995156
48,1717.28,0.55775,0.52129,1.0793,0.82272,0.6233,0.67557,0.52916,0.92123,1.72625,1.37929,0.00295717,0.000985724,0.00295717,0.000985724,0.00295717,0.000985724,0.00295717,0.000985724
49,1752.84,0.55833,0.53967,1.08,0.79433,0.62882,0.66097,0.50338,0.94545,1.85211,1.44241,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
50,1788.2,0.56405,0.54423,1.08168,0.82487,0.62816,0.67757,0.54181,0.95615,1.79362,1.42644,0.00290058,0.000966861,0.00290058,0.000966861,0.00290058,0.000966861,0.00290058,0.000966861
