epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,4472.93,0.40845,0.32203,0.97838,0.8673,0.58556,0.70696,0.57005,0.89663,2.06238,1.43413,0.000750225,0.000250075,0.000750225,0.000250075,0.000750225,0.000250075,0.000750225,0.000250075
127,4508.23,0.4241,0.33635,0.98266,0.83919,0.61464,0.70824,0.56581,0.91389,2.07737,1.4666,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
128,4543.75,0.39227,0.30461,0.96631,0.86112,0.62153,0.70917,0.57623,0.90091,2.08131,1.44581,0.000693637,0.000231212,0.000693637,0.000231212,0.000693637,0.000231212,0.000693637,0.000231212
129,4579.08,0.39716,0.32326,0.98627,0.80744,0.62944,0.70891,0.58044,0.90046,2.09051,1.45334,0.000665342,0.000221781,0.000665342,0.000221781,0.000665342,0.000221781,0.000665342,0.000221781
130,4614.24,0.42132,0.33777,0.99411,0.83737,0.62246,0.71057,0.58116,0.90892,2.07009,1.45093,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
131,4649.54,0.40617,0.34579,0.97481,0.85798,0.61646,0.70928,0.58014,0.89188,2.06208,1.44519,0.000608754,0.000202918,0.000608754,0.000202918,0.000608754,0.000202918,0.000608754,0.000202918
132,4684.66,0.40896,0.34167,0.96729,0.83498,0.62555,0.70855,0.58714,0.9017,2.08614,1.45639,0.00058046,0.000193487,0.00058046,0.000193487,0.00058046,0.000193487,0.00058046,0.000193487
133,4720.38,0.40805,0.33679,0.98582,0.82783,0.6186,0.71566,0.58953,0.89914,2.08756,1.45281,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
134,4755.6,0.39298,0.30974,0.97214,0.82885,0.63481,0.71362,0.59188,0.87964,2.05356,1.44352,0.000523871,0.000174624,0.000523871,0.000174624,0.000523871,0.000174624,0.000523871,0.000174624
135,4790.95,0.39659,0.31745,0.9696,0.82841,0.63763,0.71169,0.58899,0.87571,2.02979,1.43388,0.000495577,0.000165192,0.000495577,0.000165192,0.000495577,0.000165192,0.000495577,0.000165192
136,4826.07,0.40377,0.3212,0.97832,0.82472,0.63073,0.7127,0.59337,0.88408,2.0346,1.44096,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
137,4861.53,0.39937,0.31462,0.97797,0.79974,0.63203,0.70798,0.59183,0.87752,2.04288,1.44559,0.000438989,0.00014633,0.000438989,0.00014633,0.000438989,0.00014633,0.000438989,0.00014633
138,4897,0.39286,0.30399,0.96998,0.79372,0.63499,0.71599,0.59593,0.87295,2.06696,1.44785,0.000410695,0.000136898,0.000410695,0.000136898,0.000410695,0.000136898,0.000410695,0.000136898
139,4932.39,0.38945,0.28683,0.97586,0.81347,0.62745,0.7174,0.59612,0.88777,2.07308,1.44064,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
140,4967.64,0.39974,0.33163,0.98692,0.8087,0.63069,0.71846,0.5964,0.88319,2.04572,1.44568,0.000354106,0.000118035,0.000354106,0.000118035,0.000354106,0.000118035,0.000354106,0.000118035
141,5003.91,0.19831,0.19118,0.86037,0.79303,0.63237,0.68819,0.54919,0.87624,1.98785,1.41735,0.000325812,0.000108604,0.000325812,0.000108604,0.000325812,0.000108604,0.000325812,0.000108604
142,5039.18,0.18938,0.11556,0.8724,0.76652,0.6455,0.70425,0.5737,0.87929,2.0166,1.41593,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
143,5075,0.19164,0.10427,0.8675,0.77891,0.65063,0.70837,0.57829,0.87121,2.04986,1.40513,0.000269224,8.97412e-05,0.000269224,8.97412e-05,0.000269224,8.97412e-05,0.000269224,8.97412e-05
144,5110.22,0.18827,0.10426,0.86493,0.82486,0.62559,0.71187,0.58219,0.88389,2.01128,1.42115,0.000240929,8.03098e-05,0.000240929,8.03098e-05,0.000240929,8.03098e-05,0.000240929,8.03098e-05
145,5145.66,0.18115,0.10327,0.85987,0.81818,0.63659,0.7163,0.58536,0.87099,2.02795,1.41338,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
146,5180.84,0.17226,0.08395,0.84696,0.83426,0.63133,0.72293,0.59516,0.86454,2.0437,1.42792,0.000184341,6.1447e-05,0.000184341,6.1447e-05,0.000184341,6.1447e-05,0.000184341,6.1447e-05
147,5216.23,0.17745,0.09027,0.86027,0.82139,0.6277,0.72015,0.59204,0.87455,2.0611,1.43621,0.000156047,5.20156e-05,0.000156047,5.20156e-05,0.000156047,5.20156e-05,0.000156047,5.20156e-05
148,5251.72,0.182,0.09328,0.85711,0.79139,0.64293,0.72213,0.59216,0.87804,2.07491,1.42557,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
149,5287.1,0.17335,0.09012,0.84794,0.80692,0.63734,0.72299,0.59254,0.87562,2.07275,1.43481,9.94584e-05,3.31528e-05,9.94584e-05,3.31528e-05,9.94584e-05,3.31528e-05,9.94584e-05,3.31528e-05
150,5322.26,0.16691,0.08314,0.85359,0.82937,0.63203,0.72309,0.59383,0.86585,2.1064,1.4283,7.11642e-05,2.37214e-05,7.11642e-05,2.37214e-05,7.11642e-05,2.37214e-05,7.11642e-05,2.37214e-05
